ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	BORROWING	NOTE
1518	Kulina	WATER	patsʰo / pʰaha	patsʰo	p a tsʰ o	p a tsʰ - o	513.0	497	WATER			
1620	Kulina	WATER	patsʰo / pʰaha	pʰaha	pʰ a h a	pʰ a h a	157.0	157	WATER			
1824	Paumari	WATER	paha	paha	p a h a	p a h a	157.0	157	WATER			
5148	Sorowaha	WATER	bami	bami	b a m i	b a m i	514.0	498	WATER			
11853	Paumari_1833	WATER	pahãn	pahãn	p a h ã n	p a h ã n	157.0	157	WATER			
285	Banawa	TURTLE	sire	sire	s i r e	s - i r e	172.0	172	TURTLE			
624	Deni	TURTLE	tsʰiri	tsʰiri	tsʰ i r i	tsʰ - i r i	172.0	172	TURTLE			
894	Jamamadi	TURTLE	sire	sire	s i r e	s - i r e	172.0	172	TURTLE			
1257	Jarawara	TURTLE	sire	sire	s i r e	s - i r e	172.0	172	TURTLE			
1630	Kulina	TURTLE	tsʰiɾi	tsʰiɾi	tsʰ i ɾ i	tsʰ - i ɾ i	172.0	172	TURTLE			
1831	Paumari	TURTLE	siri / savaharo	siri	s i r i	s - i r i	172.0	172	TURTLE			
5183	Sorowaha	TURTLE	kuwasa	kuwasa	k u w a s a	k u w a s a	413.0	118	TURTLE			
10958	Paumari	TURTLE	siri / savaharo	savaharo	s a β a h a r o	s a β a h a r o	1044.0	999	TURTLE			
12061	Paumari_1833	TURTLE	siri	siri	s i r i	s i r i	172.0	172	TURTLE			
24	Banawa	ANT	maɸo	maɸo	m a ɸ o	m a ɸ o	358.0	344	ANT		YES	Loan from PJC Proto-Japurá-Colômbia
291	Deni	ANT	jomo / mapo	jomo	j o m o	j o m o	227.0	227	ANT			
292	Deni	ANT	jomo / mapo	mapo	m a p o	m a p o	358.0	344	ANT		YES	Loan from PJC Proto-Japurá-Colômbia
554	Deni	ANT	kaposhiri / meʔi	karakara	k a p o sʰ i r i	k a p o sʰ i r i	102.0	102	ANT.SP.			
596	Deni	ANT	kaposhiri / meʔi	meʔi	m e ʔ i	m e ʔ i	134.0	134	ANT.SP.			
632	Jamamadi	ANT	maɸo	maɸo	m a ɸ o	m a ɸ o	358.0	344	ANT		YES	Loan from PJC Proto-Japurá-Colômbia
903	Jarawara	ANT	maɸo	maɸo	m a ɸ o	m a ɸ o	358.0	344	ANT		YES	Loan from PJC Proto-Japurá-Colômbia
1265	Kulina	ANT	datsʰa	datsʰa	d a tsʰ a	d a tsʰ a - -	359.0	353	ANT			
1266	Kulina	ANT	jomo / mapo	jomo	j o m o	j o m o	227.0	227	ANT			
1267	Kulina	ANT	jomo / mapo	mapo	m a p o	m a p o	358.0	344	ANT		YES	Loan from PJC Proto-Japurá-Colômbia
1605	Kulina	ANT	mɛʔi	mɛʔi	m ɛ ʔ i	m ɛ ʔ i	134.0	134	ANT.SP.			
1634	Paumari	ANT	mafo / kapohi / mabosi	mafo	m a f o	m a f o	358.0	344	ANT		YES	Loan from PJC Proto-Japurá-Colômbia
1797	Paumari	ANT	mafo / kapohi / mabosi	kapohi	k a p o h i	k a p o - h i - -	102.0	102	ANT.SP.			
1837	Sorowaha	ANT	dasaɾi	dasaɾi	d a s a ɾ i	d a s a ɾ i	359.0	353	ANT			
1999	Jarawara	ANT	takasiri	takasiri	t a k a s i r i	t a k a s i r i	179.0	179	ANT.SP.			
2000	Jamamadi	ANT	takasiri	takasiri	t a k a s i r i	t a k a s i r i	179.0	179	ANT.SP.			
2001	Sorowaha	ANT	takasiɾi	takasiɾi	t a k a s i ɾ i	t a k a s i ɾ i	179.0	179	ANT.SP.			
11474	Jarawara	ANT	wakari	wakari	w a k a r i	w a k a r i	1208.0	1174	ANT			
11475	Jamamadi	ANT	wakari	wakari	w a k a r i	w a k a r i	1208.0	1174	ANT			
11476	Banawa	ANT	wakari	wakari	w a k a r i	w a k a r i	1208.0	1174	ANT			
11477	Jarawara	ANT	tikiri	tikiri	t i k i r i	t i k i r i	1209.0	1175	ANT			
11478	Banawa	ANT	titikiri	titikiri	t i t i k i r i	t i t i k i r i	1209.0	1175	ANT			
12663	Paumari	ANT	mafo / kapohi / mabosi	mabosi	m a b o s i	m a b o s i	358.0	344	ANT			
25	Banawa	ANTEATER	modo	modo	m o d o	m o d o	294.0	294	ANTEATER			Collared anteater (Tamandua tetradactyla)
293	Deni	ANTEATER	modo	modo	m o d o	m o d o	294.0	294	ANTEATER			Collared anteater (Tamandua tetradactyla)
633	Jamamadi	ANTEATER	modo	modo	m o d o	m o d o	294.0	294	ANTEATER			Collared anteater (Tamandua tetradactyla)
904	Jarawara	ANTEATER	moto	moto	m o t o	m o t o	294.0	294	ANTEATER			Collared anteater (Tamandua tetradactyla)
1268	Kulina	ANTEATER	modo	modo	m o d o	m o d o	294.0	294	ANTEATER			Collared anteater (Tamandua tetradactyla)
1549	Kulina	ANTEATER	hojawa	hojawa	h o j a w a	h o j a w a	65.0	65	ANTEATER			Giant anteater (Myrmecophaga tridactyla)
1778	Paumari	ANTEATER	hiβa	hiβa	h i β a	h i - - β a	65.0	65	ANTEATER			Giant anteater (Myrmecophaga tridactyla)
5003	Sorowaha	ANTEATER	dʒukitɛɾidʒa	dʒukitɛɾidʒa	dʒ u k i t ɛ ɾ i dʒ a	dʒ u k i t ɛ ɾ i dʒ a	1227.0	1227	ANTEATER			
11486	Jarawara	ANTEATER	banehe	banehe	b a n e h e	b a n e h e	1200.0	1166	ANTEATER			Giant anteater
11487	Banawa	ANTEATER	bane	bane	b a n e	b a n e	1200.0	1166	ANTEATER			Giant anteater
11488	Jamamadi	ANTEATER	banehe	banehe	b a n e h e	b a n e h e	1200.0	1166	ANTEATER			Giant anteater
27	Banawa	ACAI PALM	ɸare	ɸare	ɸ a r e	ɸ a r e - -	311.0	311	AÇAÍ			
636	Jamamadi	ACAI PALM	ɸare	ɸare	ɸ a r e	ɸ a r e - -	311.0	311	AÇAÍ			
907	Jarawara	ACAI PALM	ɸare	ɸare	ɸ a r e	ɸ a r e - -	311.0	311	AÇAÍ			
1271	Kulina	ACAI PALM	paɾaʔi	paɾaʔi	p a ɾ a ʔ i	p a ɾ a ʔ i	311.0	311	AÇAÍ			
1636	Paumari	ACAI PALM	parai	parai	p a r a i	p a r a - i	311.0	311	AÇAÍ			
1839	Sorowaha	ACAI PALM	haɾami	haɾami	h a ɾ a m i	h a ɾ a m i	311.0	311	AÇAÍ			
10161	Deni	ACAI PALM	maraka	maraka	m a r a k a	m a r a k a	311.0	311	AÇAÍ			
31	Banawa	BARK	atari	atari	a t a r i	a t a r i	208.0	208	SKIN			bark (of a tree)
299	Deni	BARK	etero	etero	e t e r o	e t e r o	208.0	208	SKIN			bark (of a tree)
639	Jamamadi	BARK	atori	atori	a t o r i	a t o r i	208.0	208	SKIN			bark (of a tree)
911	Jarawara	BARK	atari	atari	a t a r i	a t a r i	208.0	208	SKIN			bark (of a tree)
1277	Kulina	BARK	ɛtɛɾo	ɛtɛɾo	ɛ t̪ ɛ ɾ o	ɛ t̪ ɛ ɾ o	208.0	208	SKIN			bark (of a tree)
10054	Sorowaha	BARK	asihi	asihi	a s i h i	a s i h i	679.0	207	SKIN			
10170	Paumari	BARK	asaɸi	asaɸi	a s a ɸ i	a s a ɸ i	207.0	207	SKIN			
32	Banawa	BE ANGRY	hama / jawa	hama	h a m a	h a m a	325.0	325	BE.ANGRY			
207	Banawa	BE ANGRY	hama / jawa	jawa	j a w a	- - j a w a	86.0	86	BE.ANGRY			
423	Deni	BE ANGRY	hamiʔe	hamiʔe	h a m i ʔ e	h a m i ʔ e	1232.0	1232	BE.ANGRY			
630	Jamamadi	BE ANGRY	hama / jawa	hama	h a m a	h a m a	325.0	325	BE.ANGRY			
816	Jamamadi	BE ANGRY	hama / jawa	jawa	j a w a	- - j a w a	86.0	86	BE.ANGRY			
912	Jarawara	BE ANGRY	hama /jawa	hama	h a m a	h a m a	325.0	325	BE.ANGRY			
1168	Jarawara	BE ANGRY	hama /jawa	jawa	j a w a	- - j a w a	86.0	86	BE.ANGRY			
1787	Paumari	BE ANGRY	kajaβa / ihamahi	kajaβa	k a j a β a	k a j a β a	86.0	86	BE.ANGRY			
1951	Sorowaha	BE ANGRY	jawa	jawa	j a w a	- - j a w a	86.0	86	BE.ANGRY			
10980	Paumari	BE ANGRY	kajaβa / ihamahi	ihamahi	i h a m a h i	i h a m a h i	325.0	325	BE.ANGRY			
12227	Kulina	BE ANGRY	wadi	wadi	w a d i	w a d i	1551.0	1531	BE.ANGRY			
36	Banawa	BEE	hiji	hiji	h i j i	h i j i	245.0	245	BEE			
304	Deni	BEE	hiji	hiji	h i j i	h i j i	245.0	245	BEE			
642	Jamamadi	BEE	hiji	hiji	h i j i	h i j i	245.0	245	BEE			
1282	Kulina	BEE	hiji	hiji	h i j i	h i j i	245.0	245	BEE			
5000	Sorowaha	BEE	masi	masi	m a s i	m a s i	385.0	132	BEE			
11493	Jarawara	BEE	taha	taha	t a h a	t a h a	1201.0	1167	BEE			
11494	Banawa	BEE	daa	daa	d aa	d aa	1201.0	1167	BEE			
11495	Jamamadi	BEE	daha	daha	d a h a	d a h a	1201.0	1167	BEE			
11780	Paumari	BEE	bahina / mahi	bahina	b a h i n a	b a h i n a	1369.0	1332	BEE			
11781	Paumari	BEE	bahina / mahi	mahi	m a h i	m a h i	385.0	132	BEE			
38	Banawa	BITTER	bida	bida	b i d a	b i d a - -	219.0	219	BITTER			
311	Deni	BITTER	bidaro	bidaro	b i d a r o	b i d a r o	219.0	219	BITTER			
645	Jamamadi	BITTER	bidaro	bidaro	b i d a r o	b i d a r o	219.0	219	BITTER			
922	Jarawara	BITTER	bita	bita	b i t a	b i t a - -	219.0	219	BITTER			
1288	Kulina	BITTER	bida	bida	b i d a	b i d a - -	219.0	219	BITTER			
11171	Sorowaha	BITTER	idʒaba	idʒaba	i dʒ aː b a	i dʒ aː b a	2062.0	2050	BITTER			
12044	Paumari_1833	BITTER	aβa	aβa	a β a	a β a	948.0	537	TREE			
12747	Paumari	BITTER	arapa	arapa	a r a p a	a r a p a	1836.0	1820	BITTER			
39	Banawa	BLACK-FRONTED NUNBIRD	taakoro	taakoro	t aː k o r o	t aː - - k o r o - -	329.0	329	BLACK-FRONTED.NUNBIRD			
313	Deni	BLACK-FRONTED NUNBIRD	tawikoro	tawikoro	t a w i k o r o	t a w i k o r o - -	329.0	329	BLACK-FRONTED.NUNBIRD			
646	Jamamadi	BLACK-FRONTED NUNBIRD	tawakoro	tawakoro	t a w a k o r o	t a w a k o r o - -	329.0	329	BLACK-FRONTED.NUNBIRD			
923	Jarawara	BLACK-FRONTED NUNBIRD	taokoro	taokoro	t a o k o r o	t a - o k o r o - -	329.0	329	BLACK-FRONTED.NUNBIRD			
1290	Kulina	BLACK-FRONTED NUNBIRD	taikʰoɾo	taikʰoɾo	t̪ a i kʰ o ɾ o	t̪ a - i kʰ o ɾ o - -	329.0	329	BLACK-FRONTED.NUNBIRD			
